x;y;layer1;layer2;voltage1;voltage2;current
212.345;3116;TOP;GP1_GND_;3.29643;3.29643;-0
212.345;3116;GP1_GND_;L3;3.29643;3.29643;1.29639e-11
212.345;3116;L3;L4;3.29643;3.29643;1.27238e-11
212.345;3116;L4;P3V3;3.29643;3.29643;1.72851e-11
212.345;3116;P3V3;BOT;3.29643;3.29643;-6.36189e-12
269.878;757.786;TOP;GP1_GND_;3.50153e-05;3.50153e-05;1.26064e-16
269.878;757.786;GP1_GND_;L3;3.50153e-05;3.50153e-05;-5.50467e-17
269.878;757.786;L3;L4;3.50153e-05;3.50153e-05;-7.20365e-17
269.878;757.786;L4;P3V3;3.50153e-05;3.50153e-05;-6.1163e-17
269.878;757.786;P3V3;BOT;3.50153e-05;3.50153e-05;-5.40273e-17
312.345;1125.84;TOP;GP1_GND_;4.32002e-05;4.32002e-05;-0
312.345;1125.84;GP1_GND_;L3;4.32002e-05;4.2647e-05;0.00269144
312.345;1125.84;L3;L4;4.2647e-05;4.24591e-05;0.00269144
312.345;1125.84;L4;P3V3;4.24591e-05;4.24591e-05;-9.89064e-17
312.345;1125.84;P3V3;BOT;4.24591e-05;4.24591e-05;-0
312.345;2997.89;TOP;GP1_GND_;8.98403e-05;8.98403e-05;-0
312.345;2997.89;GP1_GND_;L3;8.98403e-05;8.96705e-05;0.000825814
312.345;2997.89;L3;L4;8.96705e-05;8.96129e-05;0.000825814
312.345;2997.89;L4;P3V3;8.96129e-05;8.96129e-05;-1.31875e-16
312.345;2997.89;P3V3;BOT;8.96129e-05;8.96129e-05;-1.9415e-16
343.098;657.668;TOP;GP1_GND_;3.22876e-05;3.22876e-05;1.08055e-16
343.098;657.668;GP1_GND_;L3;3.22876e-05;3.10332e-05;0.00113218
343.098;657.668;L3;L4;3.10332e-05;3.06072e-05;0.00113218
343.098;657.668;L4;P3V3;3.06072e-05;3.06072e-05;3.66978e-17
343.098;657.668;P3V3;BOT;3.06072e-05;3.06072e-05;1.80091e-17
378.324;3576.05;TOP;GP1_GND_;9.67259e-05;9.67259e-05;3.60182e-17
378.324;3576.05;GP1_GND_;L3;9.67259e-05;9.49479e-05;0.00160479
378.324;3576.05;L3;L4;9.49479e-05;9.43441e-05;0.00160479
378.324;3576.05;L4;P3V3;9.43441e-05;9.43441e-05;-3.3028e-16
378.324;3576.05;P3V3;BOT;9.43441e-05;9.43441e-05;-3.60182e-16
412.345;3116;TOP;GP1_GND_;3.29643;3.29643;6.36189e-12
412.345;3116;GP1_GND_;L3;3.29643;3.29643;6.48193e-12
412.345;3116;L3;L4;3.29643;3.29643;6.36189e-12
412.345;3116;L4;P3V3;3.29643;3.29643;1.08032e-11
412.345;3116;P3V3;BOT;3.29643;3.29643;-0
408.794;1619.93;TOP;GP1_GND_;5.85468e-05;5.85468e-05;2.16109e-16
408.794;1619.93;GP1_GND_;L3;5.85468e-05;6.15095e-05;-0.00267413
408.794;1619.93;L3;L4;6.15095e-05;6.25157e-05;-0.00267413
408.794;1619.93;L4;P3V3;6.25157e-05;6.25157e-05;-3.42513e-16
408.794;1619.93;P3V3;BOT;6.25157e-05;6.25157e-05;-3.24164e-16
410.85;1770.41;TOP;GP1_GND_;6.2756e-05;6.2756e-05;2.16109e-16
410.85;1770.41;GP1_GND_;L3;6.2756e-05;6.46107e-05;-0.00167404
410.85;1770.41;L3;L4;6.46107e-05;6.52406e-05;-0.00167404
410.85;1770.41;L4;P3V3;6.52406e-05;6.63485e-05;-0.001
410.85;1770.41;P3V3;BOT;6.63485e-05;6.67248e-05;-0.001
417.154;2344.24;TOP;GP1_GND_;7.7522e-05;7.71458e-05;0.001
417.154;2344.24;GP1_GND_;L3;7.71458e-05;7.68091e-05;0.000303914
417.154;2344.24;L3;L4;7.68091e-05;7.66947e-05;0.000303914
417.154;2344.24;L4;P3V3;7.66947e-05;7.66947e-05;-2.69117e-16
417.154;2344.24;P3V3;BOT;7.66947e-05;7.66947e-05;-2.88146e-16
417.154;2495.25;TOP;GP1_GND_;8.03999e-05;8.03999e-05;1.80091e-16
417.154;2495.25;GP1_GND_;L3;8.03999e-05;7.98521e-05;0.000494474
417.154;2495.25;L3;L4;7.98521e-05;7.9666e-05;0.000494474
417.154;2495.25;L4;P3V3;7.9666e-05;7.9666e-05;-2.69117e-16
417.154;2495.25;P3V3;BOT;7.9666e-05;7.9666e-05;-3.24164e-16
471.786;1607.14;TOP;GP1_GND_;5.69309e-05;5.69309e-05;1.981e-16
471.786;1607.14;GP1_GND_;L3;5.69309e-05;5.86968e-05;-0.00159397
471.786;1607.14;L3;L4;5.86968e-05;5.92966e-05;-0.00159397
471.786;1607.14;L4;P3V3;5.92966e-05;5.92966e-05;-3.66978e-17
471.786;1607.14;P3V3;BOT;5.92966e-05;5.92966e-05;-3.60182e-17
480.146;2511;TOP;GP1_GND_;8.05872e-05;8.05872e-05;-0
480.146;2511;GP1_GND_;L3;8.05872e-05;7.86743e-05;0.0017267
480.146;2511;L3;L4;7.86743e-05;7.80245e-05;0.0017267
480.146;2511;L4;P3V3;7.80245e-05;7.80245e-05;-2.8135e-16
480.146;2511;P3V3;BOT;7.80245e-05;7.80245e-05;-2.88146e-16
503.374;3070.7;TOP;GP1_GND_;9.27469e-05;9.27469e-05;-1.08055e-16
503.374;3070.7;GP1_GND_;L3;9.27469e-05;9.04754e-05;0.0020502
503.374;3070.7;L3;L4;9.04754e-05;8.9704e-05;0.0020502
503.374;3070.7;L4;P3V3;8.9704e-05;8.9704e-05;-3.42513e-16
503.374;3070.7;P3V3;BOT;8.9704e-05;8.9704e-05;-3.60182e-16
540.972;2471.63;TOP;GP1_GND_;3.29642;3.29642;-0.001
540.972;2471.63;GP1_GND_;L3;3.29642;3.29642;-0.001
540.972;2471.63;L3;L4;3.29642;3.29642;-0.001
540.972;2471.63;L4;P3V3;3.29642;3.29642;-0.001
540.972;2471.63;P3V3;BOT;3.29642;3.29642;-1.18024e-11
543.636;1641.59;TOP;GP1_GND_;3.29643;3.29643;1.29827e-11
543.636;1641.59;GP1_GND_;L3;3.29643;3.29643;1.16243e-11
543.636;1641.59;L3;L4;3.29643;3.29643;1.18024e-11
543.636;1641.59;L4;P3V3;3.29643;3.29643;1.16243e-11
543.636;1641.59;P3V3;BOT;3.29643;3.29642;0.001
547.114;3576.06;TOP;GP1_GND_;9.81478e-05;9.81478e-05;3.60182e-17
547.114;3576.06;GP1_GND_;L3;9.81478e-05;9.55384e-05;0.00235525
547.114;3576.06;L3;L4;9.55384e-05;9.46522e-05;0.00235525
547.114;3576.06;L4;P3V3;9.46522e-05;9.46522e-05;-3.3028e-16
547.114;3576.06;P3V3;BOT;9.46522e-05;9.46522e-05;-3.60182e-16
557.358;2686.21;TOP;GP1_GND_;8.58105e-05;8.58105e-05;-3.24164e-16
557.358;2686.21;GP1_GND_;L3;8.58105e-05;8.33382e-05;0.00223153
557.358;2686.21;L3;L4;8.33382e-05;8.24985e-05;0.00223153
557.358;2686.21;L4;P3V3;8.24985e-05;8.24985e-05;-2.8135e-16
557.358;2686.21;P3V3;BOT;8.24985e-05;8.24985e-05;-3.24164e-16
558.886;157.65;TOP;GP1_GND_;2.40062e-05;2.40062e-05;9.00456e-18
558.886;157.65;GP1_GND_;L3;2.40062e-05;2.385e-05;0.000140961
558.886;157.65;L3;L4;2.385e-05;2.3797e-05;0.000140961
558.886;157.65;L4;P3V3;2.3797e-05;2.3797e-05;-8.25701e-17
558.886;157.65;P3V3;BOT;2.3797e-05;2.3797e-05;-9.00456e-17
584.476;1204.89;TOP;GP1_GND_;4.30188e-05;4.30188e-05;-0
584.476;1204.89;GP1_GND_;L3;4.30188e-05;4.36187e-05;-0.000541497
584.476;1204.89;L3;L4;4.36187e-05;4.38225e-05;-0.000541497
584.476;1204.89;L4;P3V3;4.38225e-05;4.38225e-05;-1.52908e-16
