refdes,pin,voltage,current,rpin
VCOMP18,VCOMP18-0,11.9974,0.514641,0
VCOMP18,VCOMP18-1,11.9974,0.514641,0
VCOMP18,VCOMP18-2,11.9974,0.514641,0
VCOMP18,VCOMP18-3,-0.00104805,-0.771961,0
VCOMP18,VCOMP18-4,-0.00104805,-0.771961,0
VCOMP41,VCOMP41-0,3.29773,0.231457,0
VCOMP41,VCOMP41-1,3.29773,0.231457,0
VCOMP41,VCOMP41-2,3.29773,0.231457,0
VCOMP41,VCOMP41-3,3.29773,0.231457,0
VCOMP41,VCOMP41-4,3.29773,0.231457,0
VCOMP41,VCOMP41-5,3.29773,0.231457,0
VCOMP41,VCOMP41-6,3.29773,0.231457,0
VCOMP41,VCOMP41-7,-0.000651975,-0.180022,0
VCOMP41,VCOMP41-8,-0.000651975,-0.180022,0
VCOMP41,VCOMP41-9,-0.000651975,-0.180022,0
VCOMP41,VCOMP41-10,-0.000651975,-0.180022,0
VCOMP41,VCOMP41-11,-0.000651975,-0.180022,0
VCOMP41,VCOMP41-12,-0.000651975,-0.180022,0
VCOMP41,VCOMP41-13,-0.000651975,-0.180022,0
VCOMP41,VCOMP41-14,-0.000651975,-0.180022,0
VCOMP41,VCOMP41-15,-0.000651975,-0.180022,0
VCOMP43,VCOMP43-0,1.79869,0.16125,0
VCOMP43,VCOMP43-1,1.79869,0.16125,0
VCOMP43,VCOMP43-2,1.79869,0.16125,0
VCOMP43,VCOMP43-3,1.79869,0.16125,0
VCOMP43,VCOMP43-4,-0.000660684,-0.129,0
VCOMP43,VCOMP43-5,-0.000660684,-0.129,0
VCOMP43,VCOMP43-6,-0.000660684,-0.129,0
VCOMP43,VCOMP43-7,-0.000660684,-0.129,0
VCOMP43,VCOMP43-8,-0.000660684,-0.129,0
VCOMP45,VCOMP45-0,5.4973,1.66688,0
VCOMP45,VCOMP45-1,-0.00103602,-1.66688,0
VCOMP47,VCOMP47-0,-5.50022,-0.0137889,0
VCOMP47,VCOMP47-1,-5.50022,-0.0137889,0
