x,y,layer1,layer2,voltage1,voltage2,current
212.345,3116,TOP,GP1_GND_,3.29642,3.29642,6.36189e-12
212.345,3116,GP1_GND_,L3,3.29642,3.29642,1.29639e-11
212.345,3116,L3,L4,3.29642,3.29642,1.27238e-11
212.345,3116,L4,P3V3,3.29642,3.29642,1.51245e-11
212.345,3116,P3V3,BOT,3.29642,3.29642,6.36189e-12
269.878,757.786,TOP,GP1_GND_,3.85581e-05,3.85581e-05,1.44073e-16
269.878,757.786,GP1_GND_,L3,3.85581e-05,3.85581e-05,-6.1163e-17
269.878,757.786,L3,L4,3.85581e-05,3.85581e-05,-7.20365e-17
269.878,757.786,L4,P3V3,3.85581e-05,3.85581e-05,-6.72793e-17
269.878,757.786,P3V3,BOT,3.85581e-05,3.85581e-05,-7.20365e-17
312.345,1125.84,TOP,GP1_GND_,4.66704e-05,4.66704e-05,-0
312.345,1125.84,GP1_GND_,L3,4.66704e-05,4.61221e-05,0.0026677
312.345,1125.84,L3,L4,4.61221e-05,4.59359e-05,0.0026677
312.345,1125.84,L4,P3V3,4.59359e-05,4.59359e-05,-9.89064e-17
312.345,1125.84,P3V3,BOT,4.59359e-05,4.59359e-05,-0
312.345,2997.89,TOP,GP1_GND_,9.28761e-05,9.28761e-05,5.82449e-16
312.345,2997.89,GP1_GND_,L3,9.28761e-05,9.2708e-05,0.000818101
312.345,2997.89,L3,L4,9.2708e-05,9.26508e-05,0.000818101
312.345,2997.89,L4,P3V3,9.26508e-05,9.26508e-05,-1.97813e-16
312.345,2997.89,P3V3,BOT,9.26508e-05,9.26508e-05,-0
343.098,657.668,TOP,GP1_GND_,3.58544e-05,3.58544e-05,1.26064e-16
343.098,657.668,GP1_GND_,L3,3.58544e-05,3.4611e-05,0.00112234
343.098,657.668,L3,L4,3.4611e-05,3.41887e-05,0.00112234
343.098,657.668,L4,P3V3,3.41887e-05,3.41887e-05,3.66978e-17
343.098,657.668,P3V3,BOT,3.41887e-05,3.41887e-05,1.80091e-17
378.324,3576.05,TOP,GP1_GND_,9.96936e-05,9.96936e-05,-1.08055e-16
378.324,3576.05,GP1_GND_,L3,9.96936e-05,9.79329e-05,0.00158917
378.324,3576.05,L3,L4,9.79329e-05,9.7335e-05,0.00158917
378.324,3576.05,L4,P3V3,9.7335e-05,9.7335e-05,-3.54746e-16
378.324,3576.05,P3V3,BOT,9.7335e-05,9.7335e-05,-3.24164e-16
412.345,3116,TOP,GP1_GND_,3.29642,3.29642,-6.36189e-12
412.345,3116,GP1_GND_,L3,3.29642,3.29642,-0
412.345,3116,L3,L4,3.29642,3.29642,6.36189e-12
412.345,3116,L4,P3V3,3.29642,3.29642,4.32128e-12
412.345,3116,P3V3,BOT,3.29642,3.29642,-6.36189e-12
408.794,1619.93,TOP,GP1_GND_,6.18801e-05,6.18801e-05,2.16109e-16
408.794,1619.93,GP1_GND_,L3,6.18801e-05,6.48184e-05,-0.0026522
408.794,1619.93,L3,L4,6.48184e-05,6.58164e-05,-0.0026522
408.794,1619.93,L4,P3V3,6.58164e-05,6.58164e-05,-2.07954e-16
408.794,1619.93,P3V3,BOT,6.58164e-05,6.58164e-05,-2.16109e-16
410.85,1770.41,TOP,GP1_GND_,6.60512e-05,6.60512e-05,2.16109e-16
410.85,1770.41,GP1_GND_,L3,6.60512e-05,6.78936e-05,-0.00166295
410.85,1770.41,L3,L4,6.78936e-05,6.85193e-05,-0.00166295
410.85,1770.41,L4,P3V3,6.85193e-05,6.96272e-05,-0.001
410.85,1770.41,P3V3,BOT,6.96272e-05,7.00035e-05,-0.001
417.154,2344.24,TOP,GP1_GND_,8.06838e-05,8.03075e-05,0.001
417.154,2344.24,GP1_GND_,L3,8.03075e-05,7.99736e-05,0.000301415
417.154,2344.24,L3,L4,7.99736e-05,7.98601e-05,0.000301415
417.154,2344.24,L4,P3V3,7.98601e-05,7.98601e-05,-2.8135e-16
417.154,2344.24,P3V3,BOT,7.98601e-05,7.98601e-05,-2.88146e-16
417.154,2495.25,TOP,GP1_GND_,8.3528e-05,8.3528e-05,-1.80091e-16
417.154,2495.25,GP1_GND_,L3,8.3528e-05,8.29858e-05,0.0004894
417.154,2495.25,L3,L4,8.29858e-05,8.28016e-05,0.0004894
417.154,2495.25,L4,P3V3,8.28016e-05,8.28016e-05,-3.05815e-16
417.154,2495.25,P3V3,BOT,8.28016e-05,8.28016e-05,-2.88146e-16
471.786,1607.14,TOP,GP1_GND_,6.02783e-05,6.02783e-05,2.16109e-16
471.786,1607.14,GP1_GND_,L3,6.02783e-05,6.20275e-05,-0.00157877
471.786,1607.14,L3,L4,6.20275e-05,6.26215e-05,-0.00157877
471.786,1607.14,L4,P3V3,6.26215e-05,6.26215e-05,6.1163e-17
471.786,1607.14,P3V3,BOT,6.26215e-05,6.26215e-05,7.20365e-17
480.146,2511,TOP,GP1_GND_,8.37131e-05,8.37131e-05,-7.20365e-17
480.146,2511,GP1_GND_,L3,8.37131e-05,8.18165e-05,0.00171193
480.146,2511,L3,L4,8.18165e-05,8.11723e-05,0.00171193
480.146,2511,L4,P3V3,8.11723e-05,8.11723e-05,-2.93583e-16
480.146,2511,P3V3,BOT,8.11723e-05,8.11723e-05,-2.88146e-16
503.374,3070.7,TOP,GP1_GND_,9.57547e-05,9.57547e-05,-1.08055e-16
503.374,3070.7,GP1_GND_,L3,9.57547e-05,9.35046e-05,0.00203097
503.374,3070.7,L3,L4,9.35046e-05,9.27404e-05,0.00203097
503.374,3070.7,L4,P3V3,9.27404e-05,9.27404e-05,-3.18048e-16
503.374,3070.7,P3V3,BOT,9.27404e-05,9.27404e-05,-3.60182e-16
540.972,2471.63,TOP,GP1_GND_,3.29642,3.29642,-0.001
